Execution time: 0.000019 seconds
Angle | Sine (calculated) | Sine (actual) | Cosine (calculated) | Cosine (actual)
------|-------------------|---------------|---------------------|------------------
0.00  | 0.000000          | 0.000000      | 1.000000            | 1.000000          
0.25  | 0.707107          | 0.707107      | 0.707107            | 0.707107          
0.50  | 1.000000          | 1.000000      | 0.000000            | -0.000000         
0.75  | 0.707107          | 0.707107      | -0.707105           | -0.707107         
1.00  | 0.000021          | -0.000000     | -0.999900           | -1.000000         
1.25  | -0.707107         | -0.707107     | -0.707105           | -0.707107         
1.50  | -1.000000         | -1.000000     | 0.000000            | 0.000000          
1.75  | -0.707107         | -0.707107     | 0.707107            | 0.707107          
2.00  | 0.000000          | 0.000000      | 1.000000            | 1.000000          
2.25  | 0.707107          | 0.707107      | 0.707107            | 0.707107          
2.50  | 1.000000          | 1.000000      | 0.000000            | 0.000000          
2.75  | 0.707107          | 0.707107      | -0.707105           | -0.707107         
3.00  | 0.000021          | -0.000000     | -0.999900           | -1.000000         
