Execution time: 0.000024 seconds
Input | x^2 (forward) | 2x (backward) | Forward Error | Backward Error
------|----------------|---------------|---------------|----------------
0.00  | 0.000000       | 0.000000      | 0.000000      | -nan          
0.25  | 0.062500       | 0.500000      | 0.000000      | 0.000000      
0.50  | 0.250000       | 1.000000      | 0.000000      | 0.000000      
0.75  | 0.562500       | 1.500000      | 0.000000      | 0.000000      
1.00  | 1.000000       | 2.000000      | 0.000000      | 0.000000      
1.25  | 1.562500       | 2.500000      | 0.000000      | 0.000000      
1.50  | 2.250000       | 3.000000      | 0.000000      | 0.000000      
1.75  | 3.062500       | 3.500000      | 0.000000      | 0.000000      
2.00  | 4.000000       | 4.000000      | 0.000000      | 0.000000      
2.25  | 5.062500       | 4.500000      | 0.000000      | 0.000000      
2.50  | 6.250000       | 5.000000      | 0.000000      | 0.000000      
2.75  | 7.562500       | 5.500000      | 0.000000      | 0.000000      
3.00  | 9.000000       | 6.000000      | 0.000000      | 0.000000      
